year,country,accidents,train_km,country_name,year_centered,accidents_per_million_train_km,country_id
2010,AT,79.0,156.1,Austria,-7,0.5060858424087123,1
2011,AT,84.0,152.2,Austria,-6,0.5519053876478318,1
2012,AT,87.0,149.8,Austria,-5,0.5807743658210948,1
2013,AT,73.0,150.7,Austria,-4,0.4844061048440611,1
2014,AT,61.0,152.4,Austria,-3,0.400262467191601,1
2015,AT,77.0,152.7,Austria,-2,0.504256712508186,1
2016,AT,87.0,153.3,Austria,-1,0.5675146771037182,1
2017,AT,60.0,155.7,Austria,0,0.3853564547206166,1
2018,AT,42.0,164.7,Austria,1,0.2550091074681239,1
2019,AT,47.0,160.2,Austria,2,0.2933832709113608,1
2020,AT,33.0,157.2,Austria,3,0.20992366412213742,1
2021,AT,34.0,161.6,Austria,4,0.21039603960396042,1
2022,AT,57.0,182.2,Austria,5,0.31284302963776073,1
2023,AT,54.0,170.9,Austria,6,0.31597425394967815,1
2024,AT,38.0,183.1495635746,Austria,7,0.20748070188287368,1
2010,BE,40.0,98.0,Belgium,-7,0.40816326530612246,2
2011,BE,51.0,100.6,Belgium,-6,0.5069582504970179,2
2012,BE,36.0,99.3,Belgium,-5,0.3625377643504532,2
2013,BE,32.0,97.0,Belgium,-4,0.32989690721649484,2
2014,BE,47.0,96.6,Belgium,-3,0.4865424430641822,2
2015,BE,21.0,96.7,Belgium,-2,0.21716649431230609,2
2016,BE,22.0,97.1,Belgium,-1,0.22657054582904224,2
2017,BE,33.0,100.0,Belgium,0,0.33,2
2018,BE,31.0,101.6,Belgium,1,0.3051181102362205,2
2019,BE,27.0,100.8,Belgium,2,0.26785714285714285,2
2020,BE,30.0,93.8,Belgium,3,0.31982942430703626,2
2021,BE,24.0,99.7,Belgium,4,0.24072216649949849,2
2022,BE,26.0,99.2,Belgium,5,0.2620967741935484,2
2023,BE,26.0,99.6,Belgium,6,0.26104417670682734,2
2024,BE,30.0,101.60000000000001,Belgium,7,0.2952755905511811,2
2010,BG,39.0,30.6,Bulgaria,-7,1.2745098039215685,3
2011,BG,74.0,31.2,Bulgaria,-6,2.371794871794872,3
2012,BG,48.0,27.8,Bulgaria,-5,1.7266187050359711,3
2013,BG,33.0,28.2,Bulgaria,-4,1.1702127659574468,3
2014,BG,58.0,28.8,Bulgaria,-3,2.013888888888889,3
2015,BG,48.0,30.1,Bulgaria,-2,1.5946843853820598,3
2016,BG,40.0,29.4,Bulgaria,-1,1.3605442176870748,3
2017,BG,47.0,30.6,Bulgaria,0,1.5359477124183005,3
2018,BG,42.0,29.8,Bulgaria,1,1.4093959731543624,3
2019,BG,39.0,30.3,Bulgaria,2,1.2871287128712872,3
2020,BG,33.0,30.3,Bulgaria,3,1.0891089108910892,3
2021,BG,37.0,31.4,Bulgaria,4,1.178343949044586,3
2022,BG,32.0,32.7,Bulgaria,5,0.9785932721712537,3
2023,BG,33.0,31.5,Bulgaria,6,1.0476190476190477,3
2024,BG,41.0,31.2,Bulgaria,7,1.314102564102564,3
2010,CH,51.0,178.3,Switzerland,-7,0.28603477285473916,4
2011,CH,44.0,180.3,Switzerland,-6,0.24403771491957846,4
2012,CH,43.0,181.5,Switzerland,-5,0.2369146005509642,4
2013,CH,43.0,185.4,Switzerland,-4,0.23193096008629988,4
2014,CH,55.0,189.3,Switzerland,-3,0.2905441098784997,4
2015,CH,33.0,191.0,Switzerland,-2,0.17277486910994763,4
2016,CH,37.0,194.8,Switzerland,-1,0.1899383983572895,4
2017,CH,47.0,191.5,Switzerland,0,0.2454308093994778,4
2018,CH,38.0,187.2,Switzerland,1,0.202991452991453,4
2019,CH,35.0,189.9,Switzerland,2,0.18430753027909424,4
2020,CH,36.0,183.4,Switzerland,3,0.19629225736095965,4
2021,CH,41.0,192.7,Switzerland,4,0.2127659574468085,4
2022,CH,42.0,195.2,Switzerland,5,0.21516393442622953,4
2023,CH,42.0,196.7,Switzerland,6,0.21352313167259787,4
2024,CH,53.0,197.92435,Switzerland,7,0.26777907821852137,4
2010,CZ,125.0,160.2,Czechia,-7,0.7802746566791511,5
2011,CZ,99.0,160.6,Czechia,-6,0.6164383561643836,5
2012,CZ,97.0,161.4,Czechia,-5,0.6009913258983891,5
2013,CZ,91.0,160.9,Czechia,-4,0.5655686761963953,5
2014,CZ,105.0,160.1,Czechia,-3,0.6558400999375391,5
2015,CZ,94.0,158.2,Czechia,-2,0.5941845764854615,5
2016,CZ,87.0,162.0,Czechia,-1,0.5370370370370371,5
2017,CZ,97.0,169.1,Czechia,0,0.573625073920757,5
2018,CZ,89.0,174.2,Czechia,1,0.5109070034443169,5
2019,CZ,91.0,175.0,Czechia,2,0.52,5
2020,CZ,90.0,169.3,Czechia,3,0.531600708800945,5
2021,CZ,112.0,173.9,Czechia,4,0.6440483036227717,5
2022,CZ,109.0,178.2,Czechia,5,0.611672278338945,5
2023,CZ,94.0,345.5,Czechia,6,0.27206946454413894,5
2024,CZ,72.0,349.947,Czechia,7,0.20574544145256282,5
2010,DE,297.0,1032.0,Germany,-7,0.2877906976744186,6
2011,DE,285.0,1053.3,Germany,-6,0.2705781828538878,6
2012,DE,289.0,1038.1,Germany,-5,0.27839321837973224,6
2013,DE,301.0,1032.1,Germany,-4,0.29163840713109196,6
2014,DE,333.0,1043.2,Germany,-3,0.3192101226993865,6
2015,DE,306.0,1041.6,Germany,-2,0.293778801843318,6
2016,DE,310.0,1066.5,Germany,-1,0.2906704172526957,6
2017,DE,346.0,1073.5,Germany,0,0.3223102002794597,6
2018,DE,302.0,1084.6,Germany,1,0.278443665867601,6
2019,DE,298.0,1088.0,Germany,2,0.27389705882352944,6
2020,DE,294.0,1063.0,Germany,3,0.27657572906867356,6
2021,DE,238.0,1105.9,Germany,4,0.21520933176598245,6
2022,DE,337.0,1146.6,Germany,5,0.2939124367695797,6
2023,DE,312.0,1130.8,Germany,6,0.27591085956844713,6
2024,DE,366.0,1117.0,Germany,7,0.3276633840644584,6
2010,DK,16.0,63.7,Denmark,-7,0.25117739403453687,7
2011,DK,16.0,64.9,Denmark,-6,0.24653312788906007,7
2012,DK,21.0,63.2,Denmark,-5,0.3322784810126582,7
2013,DK,11.0,64.1,Denmark,-4,0.171606864274571,7
2014,DK,15.0,63.3,Denmark,-3,0.23696682464454977,7
2015,DK,13.0,62.8,Denmark,-2,0.2070063694267516,7
2016,DK,13.0,62.8,Denmark,-1,0.2070063694267516,7
2017,DK,12.0,62.0,Denmark,0,0.1935483870967742,7
2018,DK,10.0,59.4,Denmark,1,0.16835016835016836,7
2019,DK,10.0,59.4,Denmark,2,0.16835016835016836,7
2020,DK,10.0,61.1,Denmark,3,0.1636661211129296,7
2021,DK,9.0,62.5,Denmark,4,0.144,7
2022,DK,14.0,61.2,Denmark,5,0.22875816993464052,7
2023,DK,13.0,63.0,Denmark,6,0.20634920634920634,7
2024,DK,14.0,64.3,Denmark,7,0.2177293934681182,7
2010,EE,31.0,8.9,Estonia,-7,3.4831460674157304,8
2011,EE,28.0,7.0,Estonia,-6,4.0,8
2012,EE,20.0,7.0,Estonia,-5,2.857142857142857,8
2013,EE,15.0,6.8,Estonia,-4,2.2058823529411766,8
2014,EE,15.0,7.5,Estonia,-3,2.0,8
2015,EE,12.0,7.0,Estonia,-2,1.7142857142857142,8
2016,EE,15.0,6.7,Estonia,-1,2.2388059701492535,8
2017,EE,19.0,6.5,Estonia,0,2.923076923076923,8
2018,EE,21.0,7.2,Estonia,1,2.9166666666666665,8
2019,EE,5.0,7.3,Estonia,2,0.684931506849315,8
2020,EE,5.0,6.6,Estonia,3,0.7575757575757576,8
2021,EE,10.0,7.3,Estonia,4,1.36986301369863,8
2022,EE,14.0,6.8,Estonia,5,2.058823529411765,8
2023,EE,18.0,6.7,Estonia,6,2.6865671641791042,8
2024,EE,11.0,6.7,Estonia,7,1.6417910447761193,8
2010,EL,39.0,17.0,Greece,-7,2.2941176470588234,9
2011,EL,24.0,12.5,Greece,-6,1.92,9
