"attempt_id","success","model_fit_completed","convergence_passed","max_rhat","min_ess","elapsed_seconds","error_message"
1,TRUE,TRUE,TRUE,1.00842070276574,2208.85142557519,649.88916516304,NA
2,TRUE,TRUE,TRUE,1.0012183314068,2673.58365676716,1186.96279096603,NA
3,TRUE,TRUE,TRUE,1.00189841240425,2736.28852846662,495.457644939423,""
4,TRUE,TRUE,TRUE,1.00143638670117,2536.56841585755,323.197149038315,""
5,TRUE,TRUE,TRUE,1.00116811521949,2629.8859358578,356.925596952438,""
6,TRUE,TRUE,TRUE,1.00310697019212,2494.93693656629,6348.2754380703,""
7,TRUE,TRUE,TRUE,1.00511810958208,2287.15151597565,3545.53567814827,""
8,TRUE,TRUE,TRUE,1.00042957481614,2403.637018205,313.93804693222,""
9,TRUE,TRUE,TRUE,1.00191459698927,2815.56905388647,357.535151004791,""
10,TRUE,TRUE,TRUE,1.00145244538958,3838.80088118654,302.837414979935,""
