model,simulation,year,rate
M1_Poisson,1,2010,0.323281644041423
M1_Poisson,1,2011,0.3211166521544104
M1_Poisson,1,2012,0.3195015245923372
M1_Poisson,1,2013,0.31256650351138543
M1_Poisson,1,2014,0.3349041618129831
M1_Poisson,1,2015,0.3214342126046439
M1_Poisson,1,2016,0.3246348183188647
M1_Poisson,1,2017,0.349437627811861
M1_Poisson,1,2018,0.3497895139686184
M1_Poisson,1,2019,0.34149451670492215
M1_Poisson,1,2020,0.35068630733177103
M1_Poisson,1,2021,0.3448006661809097
M1_Poisson,1,2022,0.35702750378891396
M1_Poisson,1,2023,0.35456904006918416
M1_Poisson,1,2024,0.36822616502293615
M1_Poisson,2,2010,0.6425390352524548
M1_Poisson,2,2011,0.6021267051901105
M1_Poisson,2,2012,0.5682089354368287
M1_Poisson,2,2013,0.5455948074058311
M1_Poisson,2,2014,0.49481097108969596
M1_Poisson,2,2015,0.46859369241299437
M1_Poisson,2,2016,0.4488745646410563
M1_Poisson,2,2017,0.4158997955010225
M1_Poisson,2,2018,0.42224773568057145
M1_Poisson,2,2019,0.386381025248661
M1_Poisson,2,2020,0.3660305769445375
M1_Poisson,2,2021,0.3336109087123972
M1_Poisson,2,2022,0.3172749633531267
M1_Poisson,2,2023,0.30628423176707986
M1_Poisson,2,2024,0.2927893066315536
M1_Poisson,3,2010,0.2704297902022858
M1_Poisson,3,2011,0.2725665584843927
M1_Poisson,3,2012,0.3141985947235847
M1_Poisson,3,2013,0.3117684613747606
M1_Poisson,3,2014,0.36826220480779404
M1_Poisson,3,2015,0.37118938556310227
M1_Poisson,3,2016,0.4080677860373239
M1_Poisson,3,2017,0.41564417177914115
M1_Poisson,3,2018,0.4732746523791299
M1_Poisson,3,2019,0.48201989288446817
M1_Poisson,3,2020,0.5334226090838077
M1_Poisson,3,2021,0.5714583116477568
M1_Poisson,3,2022,0.6126860294665705
M1_Poisson,3,2023,0.6452387815893148
M1_Poisson,3,2024,0.7293801245716802
M1_Poisson,4,2010,0.4155711756183936
M1_Poisson,4,2011,0.42217472756537106
M1_Poisson,4,2012,0.44252949754739485
M1_Poisson,4,2013,0.4567461161949351
M1_Poisson,4,2014,0.47919093508418925
M1_Poisson,4,2015,0.461222555678408
M1_Poisson,4,2016,0.4938399958413474
M1_Poisson,4,2017,0.49105316973415136
M1_Poisson,4,2018,0.5059318790662074
M1_Poisson,4,2019,0.5276715123692934
M1_Poisson,4,2020,0.53900234348845
M1_Poisson,4,2021,0.5524617466430727
M1_Poisson,4,2022,0.581380903873388
M1_Poisson,4,2023,0.5659652157201883
M1_Poisson,4,2024,0.5978371027517069
M1_Poisson,5,2010,0.8721897301067769
M1_Poisson,5,2011,0.8469880471780257
M1_Poisson,5,2012,0.7699854169428607
M1_Poisson,5,2013,0.7352628218769951
M1_Poisson,5,2014,0.7079318013343215
M1_Poisson,5,2015,0.6749855209814144
M1_Poisson,5,2016,0.6326350262514945
M1_Poisson,5,2017,0.6137525562372189
M1_Poisson,5,2018,0.5577241995152442
M1_Poisson,5,2019,0.553685284366233
M1_Poisson,5,2020,0.5046869768998996
M1_Poisson,5,2021,0.5116061205371083
M1_Poisson,5,2022,0.46907997714228916
M1_Poisson,5,2023,0.4381666186220813
M1_Poisson,5,2024,0.4064160745835736
M1_Poisson,6,2010,0.32033052529913614
M1_Poisson,6,2011,0.31768648249294174
M1_Poisson,6,2012,0.3314331167970303
M1_Poisson,6,2013,0.3258672057884656
M1_Poisson,6,2014,0.3108122418722863
M1_Poisson,6,2015,0.3016900963512874
M1_Poisson,6,2016,0.29422467120652906
M1_Poisson,6,2017,0.28118609406952966
M1_Poisson,6,2018,0.282689118510014
M1_Poisson,6,2019,0.28564141800561077
M1_Poisson,6,2020,0.2689431983037608
M1_Poisson,6,2021,0.2774018944519621
M1_Poisson,6,2022,0.27826778305051053
M1_Poisson,6,2023,0.25703853175747093
M1_Poisson,6,2024,0.26190734272758137
M1_Poisson,7,2010,0.6564897783978109
M1_Poisson,7,2011,0.5894614633631493
M1_Poisson,7,2012,0.5207477131114939
M1_Poisson,7,2013,0.4825494786124708
M1_Poisson,7,2014,0.4556285078894418
M1_Poisson,7,2015,0.4148896962038647
M1_Poisson,7,2016,0.36388210219888756
M1_Poisson,7,2017,0.35480572597137017
M1_Poisson,7,2018,0.30871284602627885
M1_Poisson,7,2019,0.27518490181076255
M1_Poisson,7,2020,0.24857716772681623
M1_Poisson,7,2021,0.2378474029353596
M1_Poisson,7,2022,0.21168227782056695
M1_Poisson,7,2023,0.18208897857211492
M1_Poisson,7,2024,0.17704087703727597
M1_Poisson,8,2010,0.326769329827762
M1_Poisson,8,2011,0.34143381091849384
M1_Poisson,8,2012,0.3643112819832957
M1_Poisson,8,2013,0.3644392423919983
M1_Poisson,8,2014,0.3860002117970983
M1_Poisson,8,2015,0.4146264413204866
M1_Poisson,8,2016,0.41768467016686595
M1_Poisson,8,2017,0.43200408997955014
M1_Poisson,8,2018,0.46638601862482454
M1_Poisson,8,2019,0.47742922723794945
M1_Poisson,8,2020,0.4946434549715434
M1_Poisson,8,2021,0.523576558759238
M1_Poisson,8,2022,0.5369077492608512
M1_Poisson,8,2023,0.5539540693763813
M1_Poisson,8,2024,0.5964226616568684
M1_Poisson,9,2010,0.9832591082255728
M1_Poisson,9,2011,0.9324784295100134
M1_Poisson,9,2012,0.9057404215829243
M1_Poisson,9,2013,0.8863587997446266
M1_Poisson,9,2014,0.8501006036217302
M1_Poisson,9,2015,0.813457589638288
M1_Poisson,9,2016,0.8049591932213962
M1_Poisson,9,2017,0.7658486707566463
M1_Poisson,9,2018,0.7136114300293404
M1_Poisson,9,2019,0.7064524356031624
M1_Poisson,9,2020,0.663151433991742
M1_Poisson,9,2021,0.6375559487873426
M1_Poisson,9,2022,0.6241148848418593
M1_Poisson,9,2023,0.6039204381666186
M1_Poisson,9,2024,0.5843999123507418
M1_Poisson,10,2010,0.1588238450394377
M1_Poisson,10,2011,0.15910710045119922
M1_Poisson,10,2012,0.17048919528039239
M1_Poisson,10,2013,0.18195360715045755
M1_Poisson,10,2014,0.17155564968759926
M1_Poisson,10,2015,0.17927657558047708
M1_Poisson,10,2016,0.1731039143317565
M1_Poisson,10,2017,0.1988752556237219
M1_Poisson,10,2018,0.19568822553897178
M1_Poisson,10,2019,0.19841877072175462
M1_Poisson,10,2020,0.21872558866197972
M1_Poisson,10,2021,0.20375767669407724
M1_Poisson,10,2022,0.2069616636438172
M1_Poisson,10,2023,0.22773133467858173
M1_Poisson,10,2024,0.23338278064833984
M1_Poisson,11,2010,0.3986693137307507
M1_Poisson,11,2011,0.39394179265943685
M1_Poisson,11,2012,0.4144239692430067
M1_Poisson,11,2013,0.39529687167482447
M1_Poisson,11,2014,0.4137985809594408
M1_Poisson,11,2015,0.4004106776180699
M1_Poisson,11,2016,0.4327597858293913
M1_Poisson,11,2017,0.4304703476482618
M1_Poisson,11,2018,0.4378109452736318
M1_Poisson,11,2019,0.4493751593981127
M1_Poisson,11,2020,0.4382881374846558
M1_Poisson,11,2021,0.43952326428645777
M1_Poisson,11,2022,0.4328057839946334
M1_Poisson,11,2023,0.4641106947247045
M1_Poisson,11,2024,0.4471991261514148
M1_Poisson,12,2010,0.13333691044696036
M1_Poisson,12,2011,0.14063695612021423
M1_Poisson,12,2012,0.13973220204162798
M1_Poisson,12,2013,0.13061289636092788
M1_Poisson,12,2014,0.14163930954145926
M1_Poisson,12,2015,0.14505344074132578
M1_Poisson,12,2016,0.14607267245412486
M1_Poisson,12,2017,0.136758691206544
M1_Poisson,12,2018,0.14057915550452862
M1_Poisson,12,2019,0.14231063504208108
M1_Poisson,12,2020,0.13084477178886286
M1_Poisson,12,2021,0.1358384511293848
M1_Poisson,12,2022,0.13416482397078186
M1_Poisson,12,2023,0.13116171807437302
M1_Poisson,12,2024,0.14615891313330373
M1_Poisson,13,2010,0.20604174491602728
M1_Poisson,13,2011,0.2002691363888229
M1_Poisson,13,2012,0.21317778072384988
M1_Poisson,13,2013,0.2080229836135348
M1_Poisson,13,2014,0.22582865614741074
M1_Poisson,13,2015,0.23324382667298485
M1_Poisson,13,2016,0.23184488225814837
M1_Poisson,13,2017,0.229038854805726
M1_Poisson,13,2018,0.23982650848322487
M1_Poisson,13,2019,0.2560571282836011
M1_Poisson,13,2020,0.250530074768441
M1_Poisson,13,2021,0.24591443738940355
M1_Poisson,13,2022,0.2678327411861164
M1_Poisson,13,2023,0.28826751225136926
M1_Poisson,13,2024,0.27393009203370794
M1_Poisson,14,2010,0.4059129688254548
M1_Poisson,14,2011,0.44064487189635604
M1_Poisson,14,2012,0.45446108975208793
M1_Poisson,14,2013,0.4737710151095978
M1_Poisson,14,2014,0.5061950651276077
M1_Poisson,14,2015,0.48728478913283857
M1_Poisson,14,2016,0.5525809637677392
M1_Poisson,14,2017,0.5378323108384458
M1_Poisson,14,2018,0.5878300803673937
M1_Poisson,14,2019,0.6133639377709768
M1_Poisson,14,2020,0.6238143064390136
M1_Poisson,14,2021,0.6825752055792651
M1_Poisson,14,2022,0.7210117021540907
M1_Poisson,14,2023,0.7290765830690881
M1_Poisson,14,2024,0.7480035989870528
M1_Poisson,15,2010,0.5615174116005796
M1_Poisson,15,2011,0.5388004960553048
M1_Poisson,15,2012,0.5825268460824604
M1_Poisson,15,2013,0.5942753777399447
M1_Poisson,15,2014,0.6046807158741924
M1_Poisson,15,2015,0.6102248196704051
M1_Poisson,15,2016,0.5959869002443208
M1_Poisson,15,2017,0.6027607361963191
M1_Poisson,15,2018,0.6056895012118892
M1_Poisson,15,2019,0.6483040040805916
M1_Poisson,15,2020,0.6478071643789757
M1_Poisson,15,2021,0.6557718330384095
M1_Poisson,15,2022,0.6884643096722899
M1_Poisson,15,2023,0.6670990679350437
M1_Poisson,15,2024,0.6711522995008318
M1_Poisson,16,2010,0.2680152385040511
M1_Poisson,16,2011,0.2907728436106493
M1_Poisson,16,2012,0.3261301869282778
M1_Poisson,16,2013,0.3407639923387955
M1_Poisson,16,2014,0.38758869003494645
M1_Poisson,16,2015,0.43963565524140485
M1_Poisson,16,2016,0.4730467328585538
M1_Poisson,16,2017,0.5092024539877301
M1_Poisson,16,2018,0.5413955861717055
M1_Poisson,16,2019,0.5993369038510583
M1_Poisson,16,2020,0.663151433991742
M1_Poisson,16,2021,0.7018319975018216
M1_Poisson,16,2022,0.7776590722750875
M1_Poisson,16,2023,0.8643220909003555
M1_Poisson,16,2024,0.9342383431407785
M1_Poisson,17,2010,0.41664430970649785
M1_Poisson,17,2011,0.4612258898651679
M1_Poisson,17,2012,0.45817314066021464
M1_Poisson,17,2013,0.5259097680357523
M1_Poisson,17,2014,0.5485544848035581
M1_Poisson,17,2015,0.5883746643500238
M1_Poisson,17,2016,0.6134012579924104
M1_Poisson,17,2017,0.6968302658486708
M1_Poisson,17,2018,0.7217757367011097
M1_Poisson,17,2019,0.7985207855138994
M1_Poisson,17,2020,0.8380761075772795
M1_Poisson,17,2021,0.918601020089518
M1_Poisson,17,2022,0.9699619866332081
M1_Poisson,17,2023,1.015182088978572
M1_Poisson,17,2024,1.0879409421132205
M1_Poisson,18,2010,0.851531898910769
M1_Poisson,18,2011,0.8229768595477452
M1_Poisson,18,2012,0.7840381810950549
M1_Poisson,18,2013,0.7980421366248138
M1_Poisson,18,2014,0.7667054961347028
M1_Poisson,18,2015,0.7479071236771444
M1_Poisson,18,2016,0.7503768778915632
M1_Poisson,18,2017,0.7062883435582823
M1_Poisson,18,2018,0.6852914912616405
M1_Poisson,18,2019,0.6944656975261412
M1_Poisson,18,2020,0.6670572480749917
M1_Poisson,18,2021,0.6310502758405329
M1_Poisson,18,2022,0.6370344604834902
M1_Poisson,18,2023,0.5957528586528298
M1_Poisson,18,2024,0.6009017251238568
M1_Poisson,19,2010,0.2540644953586951
M1_Poisson,19,2011,0.2625399087047151
M1_Poisson,19,2012,0.25427548720668164
M1_Poisson,19,2013,0.2649499893594382
M1_Poisson,19,2014,0.2724240177909562
M1_Poisson,19,2015,0.25167166850945094
M1_Poisson,19,2016,0.24795966106981338
M1_Poisson,19,2017,0.26201431492842536
M1_Poisson,19,2018,0.25487944890929964
M1_Poisson,19,2019,0.25733231318541183
M1_Poisson,19,2020,0.2563887958933155
M1_Poisson,19,2021,0.2688144061621734
M1_Poisson,19,2022,0.26087604660985364
M1_Poisson,19,2023,0.2661670029787643
M1_Poisson,19,2024,0.2560138381657546
M1_Poisson,20,2010,0.39786446316467244
M1_Poisson,20,2011,0.4137312330140636
M1_Poisson,20,2012,0.38896990587299474
M1_Poisson,20,2013,0.3987550542668653
M1_Poisson,20,2014,0.3934131102403896
M1_Poisson,20,2015,0.38777444321592175
M1_Poisson,20,2016,0.4057285439517596
M1_Poisson,20,2017,0.3895705521472393
M1_Poisson,20,2018,0.3944380660798571
M1_Poisson,20,2019,0.379750063759245
M1_Poisson,20,2020,0.37970092623591123
M1_Poisson,20,2021,0.37186426563963776
M1_Poisson,20,2022,0.38286665507217565
M1_Poisson,20,2023,0.37666954934178914
M1_Poisson,20,2024,0.3745911499497091
M1_Poisson,21,2010,0.35923163599291735
M1_Poisson,21,2011,0.38708145333649957
M1_Poisson,21,2012,0.3722656767864244
M1_Poisson,21,2013,0.4101936582251543
M1_Poisson,21,2014,0.42835963147304873
M1_Poisson,21,2015,0.44095192965829527
M1_Poisson,21,2016,0.45121380672662054
M1_Poisson,21,2017,0.4552658486707567
M1_Poisson,21,2018,0.4954713611430029
M1_Poisson,21,2019,0.5136444784493751
M1_Poisson,21,2020,0.5108246847450062
M1_Poisson,21,2021,0.5566253773290308
M1_Poisson,21,2022,0.5903252254714402
M1_Poisson,21,2023,0.5774959162102431
M1_Poisson,21,2024,0.6254187041010562
M1_Poisson,22,2010,1.0658904330096046
M1_Poisson,22,2011,1.1773397714979286
M1_Poisson,22,2012,1.2923240090149806
M1_Poisson,22,2013,1.3782187699510535
M1_Poisson,22,2014,1.4651064280419355
M1_Poisson,22,2015,1.5903227504870219
M1_Poisson,22,2016,1.7045277330145032
M1_Poisson,22,2017,1.8438139059304706
M1_Poisson,22,2018,1.9941319045796655
M1_Poisson,22,2019,2.169344554960469
M1_Poisson,22,2020,2.3019194286351974
M1_Poisson,22,2021,2.4890704694493597
M1_Poisson,22,2022,2.7041665631444256
M1_Poisson,22,2023,2.869703084462381
M1_Poisson,22,2024,3.125207599045496
M1_Poisson,23,2010,0.7597789343778506
M1_Poisson,23,2011,0.7556927623420142
M1_Poisson,23,2012,0.7453267930531617
M1_Poisson,23,2013,0.7267503724196638
M1_Poisson,23,2014,0.7232870909668536
M1_Poisson,23,2015,0.7115779497709684
M1_Poisson,23,2016,0.698653636221864
M1_Poisson,23,2017,0.6853271983640082
M1_Poisson,23,2018,0.6898839137645107
M1_Poisson,23,2019,0.6681968885488395
M1_Poisson,23,2020,0.6623144738310457
M1_Poisson,23,2021,0.6245446028937233
M1_Poisson,23,2022,0.6188973639096622
M1_Poisson,23,2023,0.6099260113385221
M1_Poisson,23,2024,0.6169320575320256
M1_Poisson,24,2010,0.5022267532328165
M1_Poisson,24,2011,0.5013324889838782
M1_Poisson,24,2012,0.5300278403818108
M1_Poisson,24,2013,0.5168652904873378
M1_Poisson,24,2014,0.5456422747008365
M1_Poisson,24,2015,0.5709998420470701
M1_Poisson,24,2016,0.5460830690856162
M1_Poisson,24,2017,0.5812883435582823
M1_Poisson,24,2018,0.5896160224518433
M1_Poisson,24,2019,0.628921193573068
M1_Poisson,24,2020,0.619908492355764
M1_Poisson,24,2021,0.6422400333090454
M1_Poisson,24,2022,0.6683395860766727
M1_Poisson,24,2023,0.6855962333045066
M1_Poisson,24,2024,0.6947263177481389
M1_Poisson,25,2010,1.1517411600579492
M1_Poisson,25,2011,1.0812950209768066
M1_Poisson,25,2012,1.0035794776614078
M1_Poisson,25,2013,0.9459459459459459
M1_Poisson,25,2014,0.9176109287302762
M1_Poisson,25,2015,0.8247775496235458
M1_Poisson,25,2016,0.7685709830015075
M1_Poisson,25,2017,0.7354294478527609
M1_Poisson,25,2018,0.7028957775226431
M1_Poisson,25,2019,0.6727875541953583
M1_Poisson,25,2020,0.6218613993973887
M1_Poisson,25,2021,0.5972207765171229
M1_Poisson,25,2022,0.5431190837039429
M1_Poisson,25,2023,0.5193619679062169
M1_Poisson,25,2024,0.4695944434863565
M1_Poisson,26,2010,0.5684927831732576
M1_Poisson,26,2011,0.5422306657167735
M1_Poisson,26,2012,0.5130584648018028
M1_Poisson,26,2013,0.49319004043413495
M1_Poisson,26,2014,0.46807158741925226
M1_Poisson,26,2015,0.47148949613015334
M1_Poisson,26,2016,0.4462754067682071
M1_Poisson,26,2017,0.4125766871165645
M1_Poisson,26,2018,0.40209210358464087
M1_Poisson,26,2019,0.40244835501147663
M1_Poisson,26,2020,0.3752371387121973
M1_Poisson,26,2021,0.35234724679920887
M1_Poisson,26,2022,0.33889040721508606
M1_Poisson,26,2023,0.3331891995772076
M1_Poisson,26,2024,0.31636332487886065
M1_Poisson,27,2010,0.34554917636958743
M1_Poisson,27,2011,0.3551544895643684
M1_Poisson,27,2012,0.34654646692297486
M1_Poisson,27,2013,0.3530006384337093
M1_Poisson,27,2014,0.3576723498888065
M1_Poisson,27,2015,0.361185699994735
M1_Poisson,27,2016,0.3568643759421947
