country,country_name,total_accidents,mean_accidents,total_train_km,overall_accident_rate
EE,Estonia,239,15.933333333333334,106.0,2.2547169811320753
RO,Romania,2319,154.6,1308.607,1.772113399974171
EL,Greece,278,18.533333333333335,162.252,1.7133841185316667
SK,Slovakia,1095,73.0,752.258,1.4556176205503961
BG,Bulgaria,644,42.93333333333333,453.9,1.4188147168979952
LV,Latvia,312,20.8,228.27,1.3668024707583124
HR,Croatia,431,28.733333333333334,331.0,1.3021148036253776
LT,Lithuania,276,18.4,212.692,1.2976510635096759
HU,Hungary,2054,136.93333333333334,1633.668,1.2572934035556798
PL,Poland,4336,289.06666666666666,3656.681,1.1857747503815619
PT,Portugal,555,37.0,546.9010000000001,1.0148088959427757
SI,Slovenia,180,12.0,305.92,0.5883891213389121
CZ,Czechia,1452,96.8,2858.547,0.5079503677917487
NO,Norway,363,24.2,750.545,0.48364854872126256
AT,Austria,913,60.86666666666667,2402.8495635746,0.3799655266981322
FI,Finland,248,16.533333333333335,737.4,0.3363167887171142
BE,Belgium,476,31.733333333333334,1481.6,0.32127429805615554
FR,France,2119,141.26666666666668,7014.817,0.3020748795014895
SE,Sweden,657,43.8,2294.126285953957,0.28638353695808094
DE,Germany,4614,307.6,16116.199999999999,0.28629577692011765
IT,Italy,1507,100.46666666666667,5343.2,0.2820407246593802
ES,Spain,772,51.46666666666667,2878.835,0.2681640316308507
CH,Switzerland,640,42.666666666666664,2835.12435,0.22573965759209116
LU,Luxembourg,28,1.8666666666666667,128.765,0.21745039412883937
DK,Denmark,197,13.133333333333333,937.7,0.2100885144502506
NL,Netherlands,383,25.533333333333335,2329.8,0.16439179328697742
IE,Ireland,33,2.2,272.9,0.1209234151703921
