year,total_accidents,total_train_km,accidents_per_million_train_km
2010,2300,3727.4,0.6170521006599774
2011,2224,3789.9,0.5868228713158659
2012,2054,3771.5,0.5446108975208803
2013,1968,3759.2,0.5235156416258778
2014,2105,3777.2000000000003,0.5572911151117229
2015,1815,3798.6,0.4778076133312273
2016,1795,3847.4,0.46654883817643084
2017,1841,3912.0,0.4706032719836401
2018,1729,3919.5,0.44112769485903813
2019,1579,3921.0,0.4027033919918388
2020,1392,3584.4,0.3883495145631068
2021,1460,3842.8,0.37993130009368165
2022,1631,4024.9,0.405227459067306
2023,1640,4162.8,0.3939656000768713
2024,1588,4241.958199528557,0.3743554097672361
