"year","observed","predictive_median","lower_95","upper_95"
2010,0.617052100659977,0.591028599023448,0.5293166818694,0.664008424102592
2011,0.586822871315866,0.574685347898361,0.510039842739914,0.644878492836223
2012,0.54461089752088,0.55574705024526,0.492642184807106,0.622298820098104
2013,0.523515641625878,0.529367950627793,0.47084486060864,0.591635188337944
2014,0.557291115111723,0.508313036111405,0.45350391824632,0.571071163825056
2015,0.477807613331227,0.493602906333913,0.443321223608698,0.553888274627494
2016,0.466548838176431,0.475645890731403,0.423136403805167,0.53128086499974
2017,0.47060327198364,0.462934560327198,0.41129217791411,0.521996421267894
2018,0.441127694859038,0.451077943615257,0.400299783135604,0.505683122847302
2019,0.402703391991839,0.433052792654935,0.384595766386126,0.48814078041316
2020,0.388349514563107,0.422664881151657,0.372719283562102,0.476509318156456
2021,0.379931300093682,0.406604559175601,0.359106640990944,0.457999375455397
2022,0.405227459067306,0.391810976670228,0.348083182190862,0.44473154612537
2023,0.393965600076871,0.38219467665994,0.337747429614682,0.432407273950226
2024,0.374355409767236,0.370583566847667,0.327908700315479,0.420560485531958
