"model","statistic","observed","predictive_median","lower_95","upper_95","observed_inside_95"
"M1_Poisson","total",27121,27118,26661.975,27564.15,TRUE
"M1_Poisson","mean",66.9654320987654,66.958024691358,65.832037037037,68.0596296296296,TRUE
"M1_Poisson","variance",6579.34038626085,10330.2725522552,9875.42279550177,10800.5866009657,FALSE
"M1_Poisson","zeros",7,1,0,4,FALSE
"M1_Poisson","maximum",488,626,589,672,FALSE
"M1_Poisson","country_rate_variance",0.383873324310285,0.00093321002330137,0.000414135286139676,0.00197920990153856,FALSE
"M2_Negative_Binomial","total",27121,43431,37089.475,51353.35,FALSE
"M2_Negative_Binomial","mean",66.9654320987654,107.237037037037,91.578950617284,126.798395061728,FALSE
"M2_Negative_Binomial","variance",6579.34038626085,46869.7800574502,25398.7825681457,99171.4213072974,FALSE
"M2_Negative_Binomial","zeros",7,7,2,13,TRUE
"M2_Negative_Binomial","maximum",488,2147.5,1236.925,4348,FALSE
"M2_Negative_Binomial","country_rate_variance",0.383873324310285,0.0250648351700805,0.0130965800180828,0.0468254411309459,FALSE
"M3_Hierarchical_Negative_Binomial","total",27121,27225.5,26116.95,28331.225,TRUE
"M3_Hierarchical_Negative_Binomial","mean",66.9654320987654,67.2234567901235,64.4862962962963,69.9536419753086,TRUE
"M3_Hierarchical_Negative_Binomial","variance",6579.34038626085,6660.15948539298,5665.96589597849,7824.50096351302,TRUE
"M3_Hierarchical_Negative_Binomial","zeros",7,4,1,9,TRUE
"M3_Hierarchical_Negative_Binomial","maximum",488,449,375,566,TRUE
"M3_Hierarchical_Negative_Binomial","country_rate_variance",0.383873324310285,0.376873813486441,0.314571255324487,0.455800222975676,TRUE
